map_size,sigma,learning_rate,init_method,qe,n_cluster
4x4,0.8,0.7,random_init,0.4394080077198456,16
4x4,0.8,0.3,random_init,0.4401071588337789,16
4x4,0.7,0.7,random_init,0.4425195498800309,16
4x4,0.3,0.5,random_init,0.44312363271647287,16
4x4,0.2,0.5,random_init,0.4431285936629162,16
4x4,0.4,0.5,random_init,0.44321429928262124,16
4x4,0.1,0.5,random_init,0.4433634633253878,16
5x5,0.3,0.9,random_init,0.44350968418837516,25
4x4,0.1,0.1,random_init,0.4447501817581245,15
4x4,0.6,0.1,random_init,0.44543306297370305,16
4x4,0.8,0.5,random_init,0.44544834992576254,16
4x4,0.5,0.7,random_init,0.4455306058114368,16
4x4,0.4,0.3,random_init,0.44674253429556077,16
4x4,0.9,0.7,random_init,0.4476579197479145,16
4x4,0.7,0.2,random_init,0.4479723342962608,16
4x4,0.5,0.8,random_init,0.44881110830851234,16
4x4,0.5,0.2,random_init,0.4488155384620426,16
4x4,0.6,0.7,random_init,0.449941051294167,16
4x4,0.9,0.9,random_init,0.4500322471416257,16
4x4,0.5,0.3,random_init,0.4502470795788748,16
4x4,0.6,0.8,random_init,0.45039560496454334,16
4x4,0.7,0.5,random_init,0.45123276243336025,16
4x4,0.3,0.2,random_init,0.4517865213504983,16
4x4,0.2,0.2,random_init,0.45179442825186367,16
4x4,0.4,0.4,random_init,0.45292178784574716,16
4x4,0.3,0.1,random_init,0.45542121153527326,16
4x4,0.2,0.1,random_init,0.45542847992891,16
4x4,0.4,0.1,random_init,0.4554560518034421,16
4x4,0.3,0.7,random_init,0.4554563454423733,16
4x4,0.2,0.7,random_init,0.45546285502053496,16
4x4,0.1,0.7,random_init,0.45546285879580395,16
4x4,0.7,0.9,random_init,0.45614140455555924,16
4x4,0.6,0.6,random_init,0.45633572760154745,16
4x4,0.3,0.9,random_init,0.4579017882026948,16
4x4,0.4,0.9,random_init,0.4579023126249961,16
4x4,0.6,0.9,random_init,0.4592246378284926,16
4x4,0.1,0.6,random_init,0.45952010565654144,16
4x4,0.4,0.6,random_init,0.46069177347630413,16
4x4,0.5,0.4,random_init,0.4639726469866999,16
4x4,0.6,0.2,random_init,0.4674378495710121,16
4x4,0.1,0.9,random_init,0.46817227967478664,16
4x4,0.4,0.2,random_init,0.4703984511421585,16
4x4,0.4,0.7,random_init,0.4769388320859591,16
4x4,0.6,0.3,random_init,0.4800520870297261,16
4x4,0.2,0.8,random_init,0.48130461145332426,16
4x4,0.1,0.8,random_init,0.4813046114674286,16
4x4,0.3,0.8,random_init,0.4813046169629152,16
4x4,0.8,0.8,random_init,0.4817655925905457,16
4x4,0.7,0.1,random_init,0.4870290752627967,16
4x4,0.2,0.9,random_init,0.491181673819629,16
4x4,0.5,0.5,random_init,0.500579427352808,16
4x4,0.5,0.9,random_init,0.504963479062886,16
4x4,0.8,0.1,random_init,0.5083776809083984,16
4x4,0.4,0.8,random_init,0.5100385280389907,16
4x4,0.9,0.1,random_init,0.5283466109756589,16
3x3,0.6,0.4,random_init,0.5656261023674511,9
3x3,0.8,0.1,random_init,0.5676295106051731,9
3x3,0.7,0.4,random_init,0.5730874874115609,9
3x3,0.2,0.9,random_init,0.5836661901321546,9
3x3,0.1,0.9,random_init,0.5836661901321546,9
3x3,0.3,0.9,random_init,0.5836661901321567,9
3x3,0.4,0.5,random_init,0.5854580111772943,9
3x3,0.5,0.4,random_init,0.5888668725657236,9
3x3,0.4,0.6,random_init,0.5906595409488992,9
3x3,0.4,0.7,random_init,0.5908139208002587,9
3x3,0.6,0.2,random_init,0.5908669794710217,9
