map_size,sigma,learning_rate,init_method,qe,n_cluster
4x4,0.6,0.6,random_init,1.5958692000715395,16
4x4,0.6,0.7,random_init,1.5983041962895987,16
4x4,0.6,0.8,random_init,1.623369679572925,16
4x4,0.6,0.9,random_init,1.6897099035370102,16
4x4,0.7,0.1,random_init,1.8150444464334243,16
4x4,0.7,0.2,random_init,1.6357427121111723,16
4x4,0.7,0.3,random_init,1.6059150692055355,16
4x4,0.7,0.4,random_init,1.5616577578229949,16
4x4,0.7,0.5,random_init,1.5805413628443274,16
4x4,0.7,0.6,random_init,1.5993024193708771,16
4x4,0.7,0.7,random_init,1.6008054923113242,16
4x4,0.7,0.8,random_init,1.620414589536952,16
4x4,0.7,0.9,random_init,1.6509798079299465,16
4x4,0.8,0.1,random_init,1.6656073069057045,16
4x4,0.8,0.2,random_init,1.6446195249820028,16
4x4,0.8,0.3,random_init,1.6369572598343627,16
4x4,0.8,0.4,random_init,1.6138770139580907,16
4x4,0.8,0.5,random_init,1.6269071929231425,16
4x4,0.8,0.6,random_init,1.600378596902997,16
4x4,0.8,0.7,random_init,1.6180496031132487,16
4x4,0.8,0.8,random_init,1.6201699920564179,16
4x4,0.8,0.9,random_init,1.6478824819672757,16
4x4,0.9,0.1,random_init,1.6862796011877936,16
4x4,0.9,0.2,random_init,1.6327574604325448,16
4x4,0.9,0.3,random_init,1.6456518111563825,16
4x4,0.9,0.4,random_init,1.62501287889087,16
4x4,0.9,0.5,random_init,1.6298919339279663,16
4x4,0.9,0.6,random_init,1.6292554559757133,16
4x4,0.9,0.7,random_init,1.6238728677046532,16
4x4,0.9,0.8,random_init,1.6167498993453648,16
4x4,0.9,0.9,random_init,1.6480495624984288,16
5x5,0.1,0.1,random_init,1.4489736865364489,25
5x5,0.1,0.2,random_init,1.4126156326721475,25
5x5,0.1,0.3,random_init,1.4024287895164473,25
5x5,0.1,0.4,random_init,1.393970620719187,25
5x5,0.1,0.5,random_init,1.3925999632847021,25
5x5,0.1,0.6,random_init,1.3949676458957099,25
5x5,0.1,0.7,random_init,1.4084931875450006,25
5x5,0.1,0.8,random_init,1.401461241137272,25
5x5,0.1,0.9,random_init,1.4282387190200414,25
5x5,0.2,0.1,random_init,1.4488113723923555,25
5x5,0.2,0.2,random_init,1.410420263772587,25
5x5,0.2,0.3,random_init,1.4016193332377296,25
5x5,0.2,0.4,random_init,1.4009222876113112,25
5x5,0.2,0.5,random_init,1.4006740731026601,25
5x5,0.2,0.6,random_init,1.399836954236433,25
5x5,0.2,0.7,random_init,1.4084931871173352,25
5x5,0.2,0.8,random_init,1.3952427940776733,25
5x5,0.2,0.9,random_init,1.4282387184483039,25
5x5,0.3,0.1,random_init,1.4503861903510464,25
5x5,0.3,0.2,random_init,1.4106605864399535,25
5x5,0.3,0.3,random_init,1.401507280038965,25
5x5,0.3,0.4,random_init,1.4003744455341378,25
5x5,0.3,0.5,random_init,1.3931061575981367,25
5x5,0.3,0.6,random_init,1.3998369505917168,25
5x5,0.3,0.7,random_init,1.4012401815867221,25
5x5,0.3,0.8,random_init,1.3952294665400184,25
5x5,0.3,0.9,random_init,1.4162497967150214,25
5x5,0.4,0.1,random_init,1.454795919265384,25
5x5,0.4,0.2,random_init,1.4387936868533906,25
5x5,0.4,0.3,random_init,1.4175347783565313,25
5x5,0.4,0.4,random_init,1.4103660623006442,25
5x5,0.4,0.5,random_init,1.4251749452435483,25
5x5,0.4,0.6,random_init,1.4114608970490394,25
5x5,0.4,0.7,random_init,1.4418763446465912,25
5x5,0.4,0.8,random_init,1.4264385629036735,25
5x5,0.4,0.9,random_init,1.4480890430137194,25
5x5,0.5,0.1,random_init,1.474706733446758,25
5x5,0.5,0.2,random_init,1.468635489425633,25
5x5,0.5,0.3,random_init,1.4535674625129023,25
5x5,0.5,0.4,random_init,1.482633231361424,25
5x5,0.5,0.5,random_init,1.4532993758992725,25
5x5,0.5,0.6,random_init,1.466886107038246,25
5x5,0.5,0.7,random_init,1.464100207556757,25
5x5,0.5,0.8,random_init,1.4735958061402177,25
5x5,0.5,0.9,random_init,1.4541968591627679,25
5x5,0.6,0.1,random_init,1.5705009921230597,25
